timestamp,x,x1,y,y1,Arret,Arret suivant,Arret precedent,Délai réel,Prédiction RATP,Prédiction IA,bus_id,code_iti,geometry
2017-05-01 13:27:42,2.3888974125324585,2.3906799023242344,48.83821122701392,48.83713193181904, ,CHARENTON-WATTIGNIES,DUGOMMIER,67 s,0 s,58 s,B3001,ITI:55,"LINESTRING (2.388897412532458 48.83821122701392, 2.390679902324234 48.83713193181904)"
2017-05-01 13:28:42,2.3906799023242344,2.3912111298272696,48.83713193181904,48.83736536923275, ,CHARENTON-WATTIGNIES,DUGOMMIER,7 s,67 s,13 s,B3001,ITI:55,"LINESTRING (2.390679902324234 48.83713193181904, 2.39121112982727 48.83736536923275)"
2017-05-01 13:28:49,2.3912111298272696,2.3912111298272696,48.83736536923275,48.83736536923275,CHARENTON-WATTIGNIES,NICOLAI,DUGOMMIER,71 s,60 s,80 s,B3001,ITI:55,"LINESTRING (2.39121112982727 48.83736536923275, 2.39121112982727 48.83736536923275)"
2017-05-01 13:29:42,2.3912111298272696,2.3933458939522336,48.83736536923275,48.83477595834203, ,NICOLAI,CHARENTON-WATTIGNIES,18 s,85 s,79 s,B3001,ITI:55,"LINESTRING (2.39121112982727 48.83736536923275, 2.391442313425168 48.83710462454052, 2.391523909293403 48.83701471160494, 2.391619072724222 48.83687985452102, 2.392162803992767 48.83606173509335, 2.393345893952234 48.83477595834203)"
2017-05-01 13:30:00,2.3933458939522336,2.3955632583154687,48.83477595834203,48.83319307546935,NICOLAI,CHARENTON-JARDINIERS,CHARENTON-WATTIGNIES,40 s,18 s,26 s,B3001,ITI:55,"LINESTRING (2.393345893952234 48.83477595834203, 2.395563258315469 48.83319307546935)"
2017-05-01 13:30:40,2.3955632583154687,2.3955632583154687,48.83319307546935,48.83319307546935,CHARENTON-JARDINIERS,PORTE DE CHARENTON,NICOLAI,111 s,0 s,60 s,B3001,ITI:55,"LINESTRING (2.395563258315469 48.83319307546935, 2.395563258315469 48.83319307546935)"
2017-05-01 13:30:42,2.3955632583154687,2.397073277654896,48.83319307546935,48.83221267693377, ,PORTE DE CHARENTON,CHARENTON-JARDINIERS,109 s,13 s,60 s,B3001,ITI:55,"LINESTRING (2.395563258315469 48.83319307546935, 2.396542733768516 48.83255447156394, 2.397073277654896 48.83221267693377)"
2017-05-01 13:31:42,2.397073277654896,2.3980948422467554,48.83221267693377,48.832670527418706, ,PORTE DE CHARENTON,CHARENTON-JARDINIERS,49 s,0 s,29 s,B3001,ITI:55,"LINESTRING (2.397073277654896 48.83221267693377, 2.398939668085704 48.8333172004003, 2.400765603186789 48.8346733679486, 2.401309488881117 48.83411584553758, 2.402111816343845 48.83338741539799, 2.399891779046906 48.83259769467251, 2.399782814525391 48.83255281390104, 2.398094842246755 48.83267052741871)"
2017-05-01 13:32:31,2.3980948422467554,2.3980948422467554,48.832670527418706,48.832670527418706,PORTE DE CHARENTON,PORTE DE REUILLY.,CHARENTON-JARDINIERS,51 s,60 s,21 s,B3001,ITI:55,"LINESTRING (2.398094842246755 48.83267052741871, 2.398094842246755 48.83267052741871)"
2017-05-01 13:32:42,2.3980948422467554,2.3996891077540123,48.832670527418706,48.83387404111621, ,PORTE DE REUILLY.,PORTE DE CHARENTON,40 s,31 s,21 s,B3001,ITI:55,"LINESTRING (2.398094842246755 48.83267052741871, 2.399782814525391 48.83255281390104, 2.399891779046906 48.83259769467251, 2.402111816343845 48.83338741539799, 2.401309488881117 48.83411584553758, 2.400765603186789 48.8346733679486, 2.399689107754012 48.83387404111621)"
